ID,Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,Strada02,Strada1,Strada2,Chilometrica,DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,Longitudine,Latitudine,CONFERMATO
2641443,5,1/1/16 0:30,Strada Urbana,in prossimit•À_,del civico n.,VIA GIUSEPPE DONATI,,131,,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a doppio senso,Bagnato (umidit•À_ in atto),Asfaltata,Assente,Nuvoloso,Scarso,Buona,Ore Diurne,0,0,0,0,"1,255,253","4,190,785",True
2639429,20,1/1/16 1:40,Provinciale,da specificare,,VIA DI VALLE MURICANA,,,"proassimit•À_ km. 6,800",Fuoriuscita dalla sede stradale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Inesistente,1,0,0,0,,,False
2651512,18,1/1/16 1:45,Strada Urbana,all'intersezione con,VIA AURELIA,VIA AURELIA,VIA AURELIA,,,Scontro laterale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Normale,Buona,Sufficiente,1,0,0,7,"1,242,059","4,189,682",True
2640350,13,1/1/16 2:00,Strada Urbana,all'intersezione con,VIALE DELLE REPUBBLICHE MARINARE,VIALE VASCO DE GAMA,VIALE DELLE REPUBBLICHE MARINARE,,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,"1,226,923","4,173,625",True
2641517,2,1/1/16 2:00,Strada Urbana,in prossimit•À_,del civico n.,VIA NOMENTANA,,387,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Pi•À_ di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,2,0,0,0,"1,252,239","4,192,572",False
2639863,11,1/1/16 2:00,Strada Urbana,da specificare,,VIALE DEL TINTORETTO,,,fronte civ. 290,Veicolo in marcia contro veicolo in sosta,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,2,"1,248,944","4,183,381",True
2640385,13,1/1/16 2:15,Strada Urbana,in prossimit•À_,del civico n.,VIA SAN CANDIDO,,81,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,Sufficiente,0,0,0,0,,,False
2639901,8,1/1/16 2:15,Strada Urbana,all'intersezione con,VIA FRANCESCO MERLINI,VIALE S. RITA DA CASCIA,VIA FRANCESCO MERLINI,,,Scontro frontale/laterale DX fra veicoli in marcia,Intersezione semaforizzata,Pi•À_ di due carreggiate,Bagnato (pioggia),Asfaltata,Assente,Grandine in atto,Intenso,Sufficiente,Sufficiente,0,0,0,5,"1,264,451","4,186,899",True
2640273,1,1/1/16 2:45,Strada Urbana,da specificare,,VIA NICOLA SALVI,,,FRONTE PALO ACEA 1,Scontro laterale fra veicoli in marcia,Curva a visuale libera,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Intenso,Buona,Sufficiente,0,0,0,2,"1,249,284","4,189,134",True
2639902,8,1/1/16 3:00,,in prossimit•À_,del civico n.,VIA DI TORRENOVA,,108,,Veicolo in marcia contro veicolo in sosta,,,,,,,,,,0,0,0,1,,,False
2640736,23,1/1/16 3:00,Strada Urbana,in prossimit•À_,del palo luce n.,PORTO DI RIPA GRANDE,,16,,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,Sufficiente,0,0,0,1,"1,247,633","4,188,503",True
2640149,1,1/1/16 3:15,Strada Urbana,all'intersezione con,VIA CONTE VERDE,PIAZZA VITTORIO EMANUELE II,VIA CONTE VERDE,,,Veicolo in marcia contro ostacolo fisso,Incrocio,Una carreggiata a doppio senso,Asciutto,In cubetti di porfido,Verticale,Sereno,Normale,Buona,Sufficiente,1,0,0,0,,,False
2641023,16,1/1/16 3:20,Strada Urbana,all'intersezione con,VIA GIOELE SOLARI,VIA DEL CASALE LUMBROSO,VIA GIOELE SOLARI,,,Scontro frontale/laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Scarso,Sufficiente,Sufficiente,3,0,0,2,"1,235,492","4,186,274",False
2641504,16,1/1/16 3:30,Strada Urbana,da specificare,,VIA PIO SPEZI,,,prossimit•À_ svincolo Via Aurelia,Investimento di pedone,Rettilineo,Una carreggiata a doppio senso,Bagnato (umidit•À_ in atto),Asfaltata,Orizzontale,Nuvoloso,Scarso,Sufficiente,Sufficiente,1,0,0,0,,,False
2640271,7,1/1/16 4:30,Strada Urbana,in prossimit•À_,del civico n.,VIA PRENESTINA,,491,,Veicolo in marcia contro ostacolo fisso,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,"1,257,324","4,189,517",True
2639434,20,1/1/16 4:40,Strada Urbana,da specificare,,PIAZZALE DI PONTE MILVIO,,,frontr torretta,Veicolo in marcia contro ostacolo fisso,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,0,0,0,2,,,False
2640254,1,1/1/16 5:00,Strada Urbana,da specificare,,LUNGOTEVERE MARZIO,,,PALO ACEA 13,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,1,0,0,2,"1,247,384","4,190,322",True
2639706,15,1/1/16 6:00,Strada Urbana,in prossimit•À_,del palo luce n.,VIA DELLA MAGLIANA,,818,,Ribaltamento senza urto contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Bagnato (umidit•À_ in atto),Asfaltata,Assente,Nuvoloso,Scarso,Buona,Sufficiente,0,0,0,1,"1,242,401","4,183,394",True
2639867,4,1/1/16 6:10,Statale entro l'abitato,in prossimit•À_,del civico n.,VIA SALARIA,,1031,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Due carreggiate,Bagnato (umidit•À_ in atto),Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,Sufficiente,0,0,1,0,"1,250,501","4,197,154",False
