IDProtocollo,_TipoPersona,_AANascita,_Sesso,_TipoLesione,_Deceduto,_DecedutoDopo
2658954,Pedone,1987,F,Rifiuta cure immediate,False,NON DECEDUTO
2658751,Pedone,0,M,Rimandato,False,NON DECEDUTO
2662737,Pedone,1964,F,Rimandato,False,NON DECEDUTO
2664147,Pedone,1964,M,Rimandato,False,NON DECEDUTO
2667648,Pedone,1989,M,Rifiuta cure immediate,False,NON DECEDUTO
2673550,Pedone,1995,F,Rimandato,False,NON DECEDUTO
2670682,Pedone,0,F,Rifiuta cure immediate,False,NON DECEDUTO
2702550,Pedone,0,M,Rimandato,False,NON DECEDUTO
2704894,Pedone,1988,F,Rimandato,False,NON DECEDUTO
2707894,Pedone,1950,M,Rimandato,False,NON DECEDUTO
2706006,Pedone,2006,M,Rimandato,False,NON DECEDUTO
2707878,Pedone,1931,M,Rimandato,False,NON DECEDUTO
2712513,Pedone,1987,F,Rimandato,False,NON DECEDUTO
2715171,Pedone,1997,F,Rimandato,False,NON DECEDUTO
2707779,Pedone,0,M,Rifiuta cure immediate,False,NON DECEDUTO
2714392,Pedone,2028,M,Rimandato,False,NON DECEDUTO
2667396,Pedone,1978,F,Rimandato,False,NON DECEDUTO
2665240,Pedone,1962,M,Rimandato,False,NON DECEDUTO
2667432,Pedone,2001,F,Rimandato,False,NON DECEDUTO
2664067,Pedone,1940,F,Rimandato,False,NON DECEDUTO
2683465,Pedone,1956,F,Rimandato,False,NON DECEDUTO
2689838,Pedone,0,M,Rimandato,False,NON DECEDUTO
2691520,Pedone,1962,M,Rimandato,False,NON DECEDUTO
2696553,Pedone,2004,M,Ricoverato,False,NON DECEDUTO
2665569,Pedone,1954,F,Rimandato,False,NON DECEDUTO
2646291,Pedone,1929,M,Rimandato,False,NON DECEDUTO
2641798,Pedone,1939,F,Rimandato,False,NON DECEDUTO
2714371,Pedone,1977,M,Rimandato,False,NON DECEDUTO
2658368,Pedone,1929,M,Rimandato,False,NON DECEDUTO
2651416,Pedone,1978,F,Prognosi riservata,False,NON DECEDUTO
2649074,Pedone,1966,M,Rifiuta cure immediate,False,NON DECEDUTO
2647040,Pedone,1998,M,Rimandato,False,NON DECEDUTO
2652554,Pedone,1959,F,Rimandato,False,NON DECEDUTO
2652056,Pedone,1958,M,Rimandato,False,NON DECEDUTO
2655880,Pedone,1981,F,Rimandato,False,NON DECEDUTO
2656898,Pedone,0,F,Ricoverato,False,NON DECEDUTO
2681314,Pedone,1995,F,Rimandato,False,NON DECEDUTO
2683136,Pedone,1970,F,Rimandato,False,NON DECEDUTO
2674258,Pedone,1995,M,Illeso,False,
2694558,Pedone,1941,M,Illeso,False,
2684970,Pedone,1975,M,Illeso,False,
2695144,Pedone,2010,F,Illeso,False,
2685920,Pedone,2011,M,Illeso,False,
2707474,Pedone,1957,F,Illeso,False,
2696876,Pedone,1964,M,Illeso,False,
2706187,Pedone,1966,M,Ricoverato,False,NON DECEDUTO
2642531,Pedone,1986,F,Rimandato,False,NON DECEDUTO
2655981,Pedone,1955,F,Rimandato,False,NON DECEDUTO
2661283,Pedone,1951,F,Rimandato,False,NON DECEDUTO
2662632,Pedone,1966,F,Rimandato,False,NON DECEDUTO
2657782,Pedone,1954,F,Rifiuta cure immediate,False,NON DECEDUTO
2667634,Pedone,1961,M,Rimandato,False,NON DECEDUTO
2677875,Pedone,1964,F,Ricoverato,False,NON DECEDUTO
2697862,Pedone,0,F,Rifiuta cure immediate,False,NON DECEDUTO
2685642,Pedone,1957,M,Ricoverato,False,NON DECEDUTO
2701566,Pedone,1984,F,Rimandato,False,NON DECEDUTO
2698194,Pedone,0,M,Rimandato,False,NON DECEDUTO
2700676,Pedone,1955,F,Rimandato,False,NON DECEDUTO
2704733,Pedone,0,F,Rimandato,False,NON DECEDUTO
2709058,Pedone,0,M,Rimandato,False,NON DECEDUTO
2706694,Pedone,2002,F,Rimandato,False,NON DECEDUTO
2659593,Pedone,1997,M,Rimandato,False,NON DECEDUTO
2664340,Pedone,1996,M,Rimandato,False,NON DECEDUTO
2687926,Pedone,1983,M,Rimandato,False,NON DECEDUTO
2687066,Pedone,1997,M,Rimandato,False,NON DECEDUTO
2694864,Pedone,0,M,Rimandato,False,NON DECEDUTO
2689828,Pedone,1988,F,Rimandato,False,NON DECEDUTO
2657891,Pedone,2004,M,Rimandato,False,NON DECEDUTO
2652342,Pedone,1972,M,Rimandato,False,NON DECEDUTO
2686824,Pedone,1964,F,Rimandato,False,NON DECEDUTO
2643728,Pedone,1953,F,Rimandato,False,NON DECEDUTO
2649123,Pedone,1962,M,Rimandato,False,NON DECEDUTO
2654321,Pedone,1977,F,Rifiuta cure immediate,False,NON DECEDUTO
2655307,Pedone,1929,M,Rimandato,False,NON DECEDUTO
2655396,Pedone,0,F,Rimandato,False,NON DECEDUTO
2655527,Pedone,0,M,Rimandato,False,NON DECEDUTO
2667092,Pedone,1939,M,Ricoverato,False,NON DECEDUTO
2667092,Pedone,1937,F,Ricoverato,False,NON DECEDUTO
2667400,Pedone,1998,M,Rimandato,False,NON DECEDUTO
2676204,Pedone,1936,M,Rimandato,False,NON DECEDUTO
2682054,Pedone,1970,F,Rimandato,False,NON DECEDUTO
2677875,Pedone,1938,F,Deceduto durante prime cure,True,
2648169,Pedone,1940,F,Illeso,False,
2667669,Pedone,2003,F,Illeso,False,
2705666,Pedone,1966,M,Illeso,False,
2670972,Pedone,2003,F,Illeso,False,
2665452,Pedone,1951,F,Illeso,False,
2690133,Pedone,1953,F,Illeso,False,
2710803,Pedone,1957,M,Illeso,False,
2681802,Pedone,1947,M,Rimandato,False,NON DECEDUTO
2640806,Pedone,1948,M,Rimandato,False,NON DECEDUTO
2656915,Pedone,1983,M,Rimandato,False,NON DECEDUTO
2662088,Pedone,1975,F,Ricoverato,False,NON DECEDUTO
2654955,Pedone,1984,M,Rimandato,False,NON DECEDUTO
2658195,Pedone,1993,M,Rifiuta cure immediate,False,NON DECEDUTO
2664169,Pedone,0,M,Rimandato,False,NON DECEDUTO
2664352,Pedone,1990,M,Rimandato,False,NON DECEDUTO
2661425,Pedone,1972,F,Prognosi riservata,False,NON DECEDUTO
2645589,Pedone,1940,M,Ricoverato,False,NON DECEDUTO
2675954,Pedone,1964,M,Rimandato,False,NON DECEDUTO
