_IDProtocollo,_IDVeicolo,_Progressivo,_TipoPersona,_AnnoNascita,_Sesso,_TipoLesione,_Deceduto,_CinturaCascoUtilizzato,_DecedutoDopo,__prefix,_Airbag
2519195,1017588,2,Conducente,1994,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2562270,1002011,1,Passeggero,1996,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2562652,1002093,2,Conducente,1987,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2563141,1002152,2,Conducente,1967,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2563212,1002189,2,Passeggero,1986,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2563217,1002168,1,Passeggero,0,M,Rimandato,False,,NON DECEDUTO,z,
2563217,1002168,1,Passeggero,0,M,Rimandato,False,,NON DECEDUTO,z,
2563217,1002171,2,Conducente,1994,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2563227,1002177,2,Conducente,1976,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2563248,1002180,1,Conducente,1984,M,Rimandato,False,,NON DECEDUTO,z,
2563262,1002215,1,Conducente,1930,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,Inesploso
2563264,1002186,2,Conducente,1978,M,Rimandato,False,,NON DECEDUTO,z,
2563379,1002225,2,Conducente,1985,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2563487,1002262,1,Conducente,1969,M,Rimandato,False,Esente,NON DECEDUTO,z,
2563603,1002315,1,Conducente,1989,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2563603,1002315,1,Passeggero,1993,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2563603,1002315,1,Passeggero,1990,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2563603,1002332,2,Conducente,1971,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2563651,1003885,1,Conducente,1992,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2563651,1003885,1,Passeggero,1992,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2563677,1002344,1,Conducente,1988,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2563688,1002341,2,Conducente,1986,M,Rimandato,False,,NON DECEDUTO,z,
2563765,1005726,2,Conducente,1980,M,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2563807,1002367,2,Conducente,0,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2563956,1002399,2,Conducente,1975,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2564089,1002443,1,Passeggero,1934,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2564089,1002443,1,Conducente,1966,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2564089,1002447,2,Conducente,1987,M,Rimandato,False,,NON DECEDUTO,z,
2564170,1002473,2,Conducente,1998,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2564221,1002486,2,Conducente,1965,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2564300,1002515,2,Conducente,1989,F,Rifiuta cure immediate,False,Non accertato,NON DECEDUTO,z,
2564317,1002521,1,Conducente,1960,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2564503,1002584,2,Passeggero,1970,M,Rimandato,False,,NON DECEDUTO,z,
2564560,1002778,1,Conducente,1982,M,Rimandato,False,,NON DECEDUTO,z,
2564643,1002595,2,Passeggero,1979,M,Rimandato,False,,NON DECEDUTO,z,
2564643,1002595,2,Conducente,1984,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2564649,1002601,2,Conducente,1969,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2564679,1002615,1,Conducente,1956,M,Rimandato,False,,NON DECEDUTO,z,
2564706,1002624,1,Conducente,1993,F,Rifiuta cure immediate,False,,NON DECEDUTO,z,Inesploso
2564717,1002631,2,Conducente,1982,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2564730,1002640,2,Conducente,1965,M,Rimandato,False,,NON DECEDUTO,z,
2564764,1002738,1,Conducente,1945,M,Ricoverato,False,Non accertato,NON DECEDUTO,z,
2564784,1002648,3,Conducente,1972,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2564785,1002649,1,Conducente,1971,F,Rimandato,False,Non accertato,NON DECEDUTO,z,Esploso
2564828,1002669,2,Conducente,1994,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2564834,1002809,2,Conducente,1946,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2564850,1002660,1,Conducente,1980,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2564853,1002664,2,Conducente,1975,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2564857,1002787,2,Conducente,1971,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2564871,1002792,2,Conducente,1990,M,Prognosi riservata,False,Esente,NON DECEDUTO,z,
2564887,1002666,1,Conducente,1953,F,Rimandato,False,,NON DECEDUTO,z,
2564989,1002806,2,Conducente,1986,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565104,1002739,2,Conducente,1992,F,Rimandato,False,,NON DECEDUTO,z,
2565127,1002755,2,Conducente,1967,M,Rimandato,False,Esente,NON DECEDUTO,z,
2565163,1002759,1,Conducente,1963,M,Rimandato,False,Utilizzato,NON DECEDUTO,z,
2565208,1002786,2,Conducente,1987,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565235,1002801,2,Conducente,1976,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565239,1002799,2,Conducente,1990,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565286,1002816,2,Conducente,1965,M,Ricoverato,False,Non accertato,NON DECEDUTO,z,
2565322,1002827,1,Conducente,1966,M,Rifiuta cure immediate,False,,NON DECEDUTO,z,
2565322,1002829,2,Conducente,1993,M,Rimandato,False,,NON DECEDUTO,z,
2565334,1002835,2,Passeggero,1960,F,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565334,1002835,2,Conducente,1960,M,Rimandato,False,Non accertato,NON DECEDUTO,z,
2565571,1002872,2,Passeggero,1995,M,Rimandato,False,Non accertato,NON DECEDUTO,z,Inesploso
2565654,1002886,1,Conducente,1972,M,Rimandato,False,,NON DECEDUTO,z,
2565654,1002889,2,Conducente,1981,F,Rimandato,False,,NON DECEDUTO,z,Esploso
